
Note: No compatibility mode selected!


Circuit: * tb_chip_spi.spice -- chip-level ngspice testbench for tr_1um_3wire_spi.

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xdut.x2.x_80_.x1_net6                 0.034793
xdut.x2.x_80_.x2_sb                          5
xdut.x2.x_80_.x2_net2                        5
xdut.x2.x_80_.x2_net3                        5
xdut.x2.x_80_.x2_net1                        5
xdut.x2.x_81_.net1                     1.34474
xdut.x2.x_81_.net2                 8.60377e-08
xdut.x2.x_81_.ckp                  2.08524e-08
xdut.x2.x_81_.ckb                            5
xdut.x2.x_81_.net3                 4.30189e-08
xdut.x2.x_81_.qm                             5
xdut.x2.x_81_.net4                 2.60779e-08
xdut.x2.x_81_.qs                   9.07633e-08
xdut.x2.x_81_.net5                 5.84206e-08
xdut.x2.x_81_.net6                    0.034793
xdut.x2.x_82_.net1                           5
xdut.x2.x_82_.net2                           5
xdut.x2.x_82_.ckp                  2.08524e-08
xdut.x2.x_82_.ckb                            5
xdut.x2.x_82_.net3                     4.14374
xdut.x2.x_82_.qm                   2.60779e-08
xdut.x2.x_82_.net4                           5
xdut.x2.x_82_.qs                   7.29558e-08
xdut.x2.x_82_.net5                 4.95168e-08
xdut.x2.x_82_.net6                    0.034793
xdut.x2.x_83_.net1                           5
xdut.x2.x_83_.net2                           5
xdut.x2.x_83_.ckp                  2.08524e-08
xdut.x2.x_83_.ckb                            5
xdut.x2.x_83_.net3                     4.14374
xdut.x2.x_83_.qm                   2.60779e-08
xdut.x2.x_83_.net4                           5
xdut.x2.x_83_.qs                   7.29558e-08
xdut.x2.x_83_.net5                 4.95168e-08
xdut.x2.x_83_.net6                    0.034793
xdut.x2.xu_bufth_sclk.mid                    5
xdut.x2.xu_bufth_sclk.net1                   5
xdut.x2.sclk_buf                   2.05775e-08
xdut.x2.xu_bufth_sclk.net2             4.19619
xdut.x2.xu_bufth_cs_n.mid          4.02692e-08
xdut.x2.xu_bufth_cs_n.net1             1.27314
xdut.x2.xu_bufth_cs_n.net2         2.85498e-08
xdut.x2.xu_bufth_sdio_in.mid                 5
xdut.x2.xu_bufth_sdio_in.net1                5
xdut.x2.xu_bufth_sdio_in.net2          4.19619
xdut.x2.xu_buf_sclk_buf_row0.net1               5
xdut.x2.xu_buf_sclk_buf_row1.net1               5
xdut.x2.xu_buf_shift_clk_row0.net1               5
xdut.x2.xu_buf_shift_clk_row1.net1               5
vsdio#branch                       2.15171e-10
vtx7#branch                        2.00265e-20
vtx6#branch                        2.00265e-20
vtx5#branch                             -5e-12
vtx4#branch                             -5e-12
vtx3#branch                             -5e-12
vtx2#branch                             -5e-12
vtx1#branch                        2.00265e-20
vtx0#branch                             -5e-12
vmgate#branch                                0
vtxgate#branch                               0
vsclk#branch                       2.26037e-10
vdis#branch                        2.26037e-10
vcs#branch                        -1.04426e-11
vrstn#branch                       2.26037e-10
vvss#branch                        3.43716e-09
vvdd#branch                       -7.53242e-09

 Reference value :  1.46600e-07 Reference value :  5.87670e-07 Reference value :  1.05267e-06 Reference value :  1.52267e-06 Reference value :  1.99267e-06 Reference value :  2.46067e-06 Reference value :  2.93067e-06 Reference value :  3.40167e-06 Reference value :  3.87267e-06 Reference value :  4.34367e-06 Reference value :  4.75174e-06 Reference value :  5.17014e-06 Reference value :  5.52056e-06 Reference value :  5.98017e-06 Reference value :  6.35000e-06 Reference value :  6.68098e-06 Reference value :  7.02694e-06 Reference value :  7.48000e-06 Reference value :  7.81771e-06 Reference value :  8.17842e-06 Reference value :  8.51852e-06 Reference value :  8.97302e-06 Reference value :  9.33208e-06 Reference value :  9.65695e-06 Reference value :  1.00181e-05 Reference value :  1.04794e-05 Reference value :  1.08131e-05 Reference value :  1.11725e-05 Reference value :  1.15191e-05 Reference value :  1.19520e-05 Reference value :  1.22972e-05 Reference value :  1.26015e-05 Reference value :  1.30113e-05 Reference value :  1.34375e-05 Reference value :  1.38369e-05 Reference value :  1.41386e-05 Reference value :  1.46056e-05 Reference value :  1.50706e-05 Reference value :  1.55366e-05 Reference value :  1.59905e-05 Reference value :  1.64045e-05 Reference value :  1.66918e-05 Reference value :  1.70437e-05 Reference value :  1.74984e-05 Reference value :  1.78418e-05 Reference value :  1.81406e-05 Reference value :  1.85147e-05 Reference value :  1.89636e-05 Reference value :  1.93004e-05 Reference value :  1.96498e-05 Reference value :  2.00173e-05 Reference value :  2.04508e-05 Reference value :  2.08172e-05 Reference value :  2.11507e-05 Reference value :  2.15157e-05 Reference value :  2.19740e-05 Reference value :  2.22785e-05 Reference value :  2.26128e-05 Reference value :  2.30129e-05 Reference value :  2.33861e-05 Reference value :  2.37162e-05 Reference value :  2.40362e-05 Reference value :  2.44897e-05 Reference value :  2.49126e-05 Reference value :  2.53736e-05 Reference value :  2.57062e-05 Reference value :  2.61742e-05 Reference value :  2.66442e-05 Reference value :  2.70573e-05 Reference value :  2.75024e-05 Reference value :  2.79465e-05 Reference value :  2.83069e-05 Reference value :  2.86726e-05 Reference value :  2.90186e-05 Reference value :  2.94698e-05 Reference value :  2.98282e-05 Reference value :  3.01647e-05 Reference value :  3.05185e-05 Reference value :  3.09800e-05 Reference value :  3.13029e-05 Reference value :  3.16527e-05 Reference value :  3.20151e-05 Reference value :  3.24463e-05 Reference value :  3.28041e-05 Reference value :  3.31090e-05 Reference value :  3.35092e-05 Reference value :  3.39202e-05 Reference value :  3.42202e-05 Reference value :  3.45695e-05 Reference value :  3.50039e-05 Reference value :  3.53388e-05 Reference value :  3.57055e-05 Reference value :  3.61055e-05 Reference value :  3.65675e-05 Reference value :  3.70365e-05
No. of Data Rows : 39999

  Measurements for Transient Analysis

rx_reset_bit0       =  2.04699e-08
rx_reset_bit1       =  2.00270e-08
rx_reset_bit2       =  2.04700e-08
rx_reset_bit3       =  2.04700e-08
rx_reset_bit4       =  2.04700e-08
rx_reset_bit5       =  2.04700e-08
rx_reset_bit6       =  2.00270e-08
rx_reset_bit7       =  2.00263e-08
test_idle           =  2.00283e-08
test_mid_wr1        =  2.00283e-08
test_last_wr1       =  5.00000e+00
rx_wr1_bit0         =  4.99953e+00
rx_wr1_bit1         =  2.00265e-08
rx_wr1_bit2         =  4.99953e+00
rx_wr1_bit3         =  2.04695e-08
rx_wr1_bit4         =  2.04695e-08
rx_wr1_bit5         =  4.99953e+00
rx_wr1_bit6         =  2.00265e-08
rx_wr1_bit7         =  4.99953e+00
sdio_hiz_idle       =  8.13034e-06
tx_pads_bit0        =  4.95045e+00
tx_pads_bit1        =  2.24020e-06
tx_pads_bit2        =  4.95045e+00
tx_pads_bit3        =  4.95045e+00
tx_pads_bit4        =  4.95045e+00
tx_pads_bit5        =  4.95045e+00
tx_pads_bit6        =  2.24020e-06
tx_pads_bit7        =  2.24020e-06
read_byte_bit0      =  4.97666e+00
read_byte_bit1      =  7.31310e-08
read_byte_bit2      =  4.97666e+00
read_byte_bit3      =  4.97666e+00
read_byte_bit4      =  4.97666e+00
read_byte_bit5      =  4.97666e+00
read_byte_bit6      =  2.73608e-08
read_byte_bit7      =  3.03266e-08
